economy,item,unit,item_code_new,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
09_ROK,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,496,489,369,368,153,119,163,165,90,0,0,0,0,0,0,0,0,0,0,0,0
10_MAS,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,351.4,432,605,726,848,910,843,920,950,960,950,950,950,950,1000,1000,1000,1000,1460,,
11_MEX,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,1449.3,1002.7,701,548,437,440,568,422.6,486.624,486.7,624.72,624,824.373,765.5,879.7,879,880,1100,1100,,
12_NZ,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,93.7,110.1,105,117,109,128,124,120,120,125,125,125,120,120,125,125,125,125,125,,
13_PNG,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14_PE,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15_RP,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16_RUS,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,6500,7633.1,8735,8690,8600,9100,9800,10000,10500,10500,10425,10441,10902,11418,11345,11836,11800,12000,12500,14000,14000
17_SIN,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CT,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,231.419,146.228,11,12,11,11,11,11,11.5,11.5,11.5,11.5,0,0,0,0,0,0,0,0,0
19_THA,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_USA,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,13800,12900,11800,9120,10300,8600,8850,8338,8190,8538,7867,7704,8290,9350,8730,9170,9330,9590,10200,11600,12500
21_VN,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,32.9,33,42,53,58,80,216,220,230,300,300,300,300,300,830,1000,1100,1100,1100,1100,1100
01_AUS,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,415,420,410,420,420,430,430,430,430,405,405,405,405,380,
02_BD,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_CDA,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,4956,4814,4931,5068,4913.1,4647.6,4647.6,4647.6,4543.2,4543.2,4543.2,5345,5345,5345,
04_CHL,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_PRC,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,6174.574,7243.919,8742.698,9486.443,10501.029,12082.757,14917.76505,15714.98689,15139.19511,16825.05587,18206.28696,23352,22277,23352,
06_HKC,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07_INA,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,465,487,490,524.4285938,450,450,450,450,534,594,594,860,860,860,
08_JPN,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,7569.7,7618.4,7522.3,7738.6,6882.4,6912.6,7017.6,6689.3,6145.2,6695.7,6647,6494.5,6489.5,6494.5,
09_ROK,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,5955,6131,6157,6827,7071,7380,7396,7477,7937,8327,8270,8870,8540,8870,
10_MAS,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,1581,1575,1598,1582,1586,1574,1508,1557,1568,1455.912,1324.08301,1770,1770,1770,
11_MEX,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,1077,1085,1176,1190,1240,1159,1100,1099,1142,1244,1350,2250,2432,2250,
12_NZ,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13_PNG,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14_PE,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15_RP,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,320,320,320,
16_RUS,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,2590,2616,2725,2820,2716,2586,2777,2994,2546,3067,2779,4538,4238,4538,
17_SIN,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,1904,1882,1855,2028,1770,1960,2434,2484,2446.688,3380.5261,3730.076656,4000,4000,4000,
18_CT,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,2864,2900,2888,3666,3623,3852,3929,3522,3478,3925,4182,4005,4005,4005,
19_THA,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,1993,2216,2391,2347,2201,2455,2880,3666,4093,3875.94,3976.58974,4609,4509,4609,
20_USA,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,25557,23974,25020,25412,23554,22610,23900,24413,24300,25029,24842,30269,28842,30269,
21_VN,ethylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01_AUS,propylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,280,280,270,270,270,270,270,270,200,200,130,125,125,125,
02_BD,propylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_CDA,propylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,945,748,878,741,741,741,610,610,610,610,610,610,610,609.6,
04_CHL,propylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_PRC,propylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,6332.684,7588.055,8792.378,10435.08,10717.857,11734.573,13042,14776,14880,16777,19165,22634,25676,26384.38,
06_HKC,propylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07_INA,propylene_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,,,,,,,422,465,485,485,422.828875,255.5517872,554.07,554.07,554.07,554.07,685.47,685,685,740,
