Economy,Year,GDP,SteelProduction,Population,GDPpercap,PROpercap,lnGDPpercap,lnPROpercap
KOR,1995,202.18060874128201,36.77,45292.5209999999,0.004463885080304593,0.0008118338124742513,-5.411735797893867,-7.116214903189798
MAS,1995,77.07930071960422,2.45,20487.604,0.003762240851570746,0.00011958450583094051,-5.582740527938187,-9.031487274748581
MEX,1995,260.35387104406396,12.15,91663.29,0.0028403286751333494,0.00013255033721787645,-5.863835502824544,-8.928548081151929
NZ,1995,18.835660713179895,0.84,3674.94,0.005125433534474004,0.00022857516041078222,-5.273540165442886,-8.383645472127823
PNG,1995,1.36317069017475,1.0,5187.063,0.00026280203077825546,0.0001927873249274204,-8.24410954391695,-8.55392292002663
PE,1995,22.9317234069315,0.51,24299.168,0.0009437246331615756,2.0988372935237948e-05,-6.965676136531472,-10.77154194332312
RP,1995,65.0309467851754,0.92,69784.087,0.0009318879071266692,1.31835213377514e-05,-6.978298021835175,-11.236542891755445
RUS,1995,303.9090345903,51.59,148227.471,0.0020502881992117373,0.0003480461459131284,-6.189774910731628,-7.963175483782182
SIN,1995,41.268142802507796,0.52,3525.9640000000004,0.011704073780250675,0.00014747739908858967,-4.447818311435014,-8.821835620442817
CT,1995,63.373432587742215,11.61,21356.025,0.0029674732347308177,0.0005436404948954685,-5.820044450988417,-7.517222384540796
THA,1995,157.64966616648903,2.13,59467.272,0.0026510324227835614,3.5818021045256624e-05,-5.932806121352619,-10.23705941005899
USA,1995,1846.0418292040506,95.19,265163.74100000004,0.006961893893343624,0.0003589857332718804,-4.967303730538733,-7.932227910455405
VN,1995,25.300228835089413,0.27,74910.462,0.00033773959150177734,3.6043029610470167e-06,-7.993235398766027,-12.533382159307553
AUS,1996,79.6588891613166,8.42,18189.274,0.004379443025670875,0.0004629101744247736,-5.430833725768535,-7.677977530421844
BD,1996,2.82577153053994,1.0,304.62,0.009276382150022782,0.0032827785437594377,-4.680283662720466,-5.719065098187358
CDA,1996,159.77883492990705,14.74,29457.82,0.005423987074736252,0.0005003764704923854,-5.2169241113232365,-7.600149801875169
CHL,1996,33.3039235587485,1.18,14587.367,0.002283066132410907,8.089191147381154e-05,-6.082235944525549,-9.422396720680645
PRC,1996,1004.3619649375901,101.24,1251636.178,0.0008024392252247522,8.088612472177997e-05,-7.127854437635063,-9.422468260083274
HKC,1996,10.1853808013455,0.1,6185.584,0.0016466320401348523,1.616662226234419e-05,-6.409023264929699,-11.03256179535184
INA,1996,320.427453918957,4.11,199901.23100000003,0.0016029288680016029,2.0560153529019538e-05,-6.4359227806364805,-10.792155650040426
JPN,1996,1030.80481815758,98.8,126644.099,0.008139382934514619,0.0007801389940797794,-4.811040908411837,-7.156038456617753
KOR,1996,208.494772581082,38.9,45751.023,0.004557160887551782,0.0008502542118019961,-5.391055461738413,-7.069975180485009
MAS,1996,89.4975302432003,3.22,21017.619,0.004258214512462154,0.00015320479451073885,-5.458905335089781,-8.783735005385482
MEX,1996,293.232900117523,13.2,93147.045,0.0031480644406650044,0.00014171141983087063,-5.760967478285477,-8.861717822906849
